month,cpi_yoy,period
2024年03月份,0.1,2024-03
2024年04月份,0.3,2024-04
2024年05月份,0.3,2024-05
2024年06月份,0.2,2024-06
2024年07月份,0.5,2024-07
2024年08月份,0.6,2024-08
2024年09月份,0.4,2024-09
2024年10月份,0.3,2024-10
2024年11月份,0.2,2024-11
2024年12月份,0.1,2024-12
2025年01月份,0.5,2025-01
2025年02月份,-0.7,2025-02
2025年03月份,-0.1,2025-03
2025年04月份,-0.1,2025-04
2025年05月份,-0.1,2025-05
2025年06月份,0.1,2025-06
2025年07月份,0.0,2025-07
2025年08月份,-0.4,2025-08
2025年09月份,-0.3,2025-09
2025年10月份,0.2,2025-10
2025年11月份,0.7,2025-11
2025年12月份,0.8,2025-12
2026年01月份,0.2,2026-01
2026年02月份,1.3,2026-02
2026年03月份,1.0,2026-03
2026年04月份,1.2,2026-04
2026年05月份,1.2,2026-05
