month,m2_yoy,period
2021年07月份,8.3,2021-07
2021年08月份,8.2,2021-08
2021年09月份,8.3,2021-09
2021年10月份,8.7,2021-10
2021年11月份,8.5,2021-11
2021年12月份,9.0,2021-12
2022年01月份,9.8,2022-01
2022年02月份,9.2,2022-02
2022年03月份,9.7,2022-03
2022年04月份,10.5,2022-04
2022年05月份,11.1,2022-05
2022年06月份,11.4,2022-06
2022年07月份,12.0,2022-07
2022年08月份,12.2,2022-08
2022年09月份,12.1,2022-09
2022年10月份,11.8,2022-10
2022年11月份,12.4,2022-11
2022年12月份,11.8,2022-12
2023年01月份,12.6,2023-01
2023年02月份,12.9,2023-02
2023年03月份,12.7,2023-03
2023年04月份,12.4,2023-04
2023年05月份,11.6,2023-05
2023年06月份,11.3,2023-06
2023年07月份,10.7,2023-07
2023年08月份,10.6,2023-08
2023年09月份,10.3,2023-09
2023年10月份,10.3,2023-10
2023年11月份,10.0,2023-11
2023年12月份,9.7,2023-12
2024年01月份,8.7,2024-01
2024年02月份,8.7,2024-02
2024年03月份,8.3,2024-03
2024年04月份,7.2,2024-04
2024年05月份,7.0,2024-05
2024年06月份,6.2,2024-06
2024年07月份,6.3,2024-07
2024年08月份,6.3,2024-08
2024年09月份,6.8,2024-09
2024年10月份,7.5,2024-10
2024年11月份,7.1,2024-11
2024年12月份,7.3,2024-12
2025年01月份,7.0,2025-01
2025年02月份,7.0,2025-02
2025年03月份,7.0,2025-03
2025年04月份,8.0,2025-04
2025年05月份,7.9,2025-05
2025年06月份,8.3,2025-06
2025年07月份,8.8,2025-07
2025年08月份,8.8,2025-08
2025年09月份,8.4,2025-09
2025年10月份,8.2,2025-10
2025年11月份,8.0,2025-11
2025年12月份,8.5,2025-12
2026年01月份,9.0,2026-01
2026年02月份,9.0,2026-02
2026年03月份,8.5,2026-03
2026年04月份,8.6,2026-04
2026年05月份,8.6,2026-05
